parameter,value,unit,uncertainty,reference,DOI,notes
saturation_dose_growth,0.5,Gy_per_hour,0.2,"Dose where growth enhancement saturates",Estimated,"Beyond this, no further boost"
inhibition_dose_threshold,10,Gy_per_hour,5,"Dose where growth starts declining",Estimated,"Damage exceeds repair capacity"

# Week 1.3: Atmospheric Evolution Timeline (COMPLETED)
# CO₂ Concentrations by Epoch
CO2_hadean,120000,ppm,30000,"Hadean 4.6-4.0 Ga",Multiple,"Multi-bar levels, faint sun paradox"
CO2_archean_early,700000,ppm,200000,"Early Archean 4.0-3.5 Ga, 70% by volume",10.1126/sciadv.aba4942,"Micrometeorite analysis, >0.7 bar pCO2"
CO2_archean_mid,50000,ppm,40000,"Mid Archean 3.5-3.0 Ga",Estimated,"100-1000x PAL to prevent freezing"
CO2_archean_late,5000,ppm,3000,"Late Archean 3.0-2.5 Ga",10.1029/2002PA000760,"Paleosol data, controversial"
CO2_proterozoic_early,15000,ppm,10000,"Proterozoic 2.5-1.0 Ga, 10-200x PAL",Multiple,"Post-GOE decline"
CO2_proterozoic_late,2000,ppm,1000,"Late Proterozoic 1.0-0.54 Ga",10.1126/science.289.5477.276,"Approaching Phanerozoic levels"
CO2_cambrian,7000,ppm,3000,"Cambrian 541-485 Ma, 10-15x PAL",Multiple,"Early Paleozoic high"
CO2_ordovician,6000,ppm,3000,"Ordovician 485-444 Ma",climate.nasa.gov,"3,000-9,000 ppm"
CO2_devonian,2500,ppm,1000,"Devonian 419-359 Ma",Multiple,"<0.3% declining"
CO2_carboniferous,400,ppm,200,"Carboniferous 359-299 Ma",Multiple,"Minimum ~0.04%, land plant expansion"
CO2_permian,800,ppm,400,"Permian 299-252 Ma",10.1073/pnas.1621424114,"Post-ice age increase, 4x spike ~294 Ma"
CO2_triassic,1500,ppm,500,"Triassic 252-201 Ma",Estimated,"Mesozoic elevated levels"
CO2_jurassic,1200,ppm,150,"Jurassic 201-145 Ma, 4x PAL",10.1073/pnas.95.22.12955,"Late Jurassic 1200±150 ppmv"
CO2_cretaceous,750,ppm,200,"Cretaceous 145-66 Ma, 3x PAL",10.1073/pnas.95.22.12955,"Late Cretaceous 750±200 ppmv"
CO2_cenozoic_early,1600,ppm,400,"Early Cenozoic 66-34 Ma, hothouse peak",10.1126/science.1178066,"~51 Ma peak"
CO2_cenozoic_mid,550,ppm,150,"Mid Cenozoic 34-16 Ma",10.1126/science.1178066,"Antarctic glaciation"
CO2_cenozoic_late,280,ppm,20,"Late Cenozoic 2.6 Ma-present, pre-industrial",Multiple,"Plio-Pleistocene 278-284 ppm"
CO2_modern,420,ppm,5,"Present day 2024",Measured,"Highest in 14 million years"

# CH₄ Concentrations (Methane)
CH4_archean_low,100,ppm,50,"Conservative estimate Archean",10.1098/rsta.2006.1875,"With oxygenic photosynthesis"
CH4_archean_mid,500,ppm,300,"Mid-range estimate Archean, 0.05%",Multiple,"100-1000 ppm typical"
CH4_archean_high,5000,ppm,2000,"High estimate Archean, >0.5%",10.1126/science.1127863,"Xenon isotope evidence 3.5 Ga"
CH4_archean_anoxic,3000,ppm,1000,"Anoxic Archean atmosphere, 0.3%",Multiple,"Substantial CH4 flux scenario"
CH4_modern,1.8,ppm,0.2,"Present atmospheric level",Measured,"For comparison, 0.00017%"

# Atmospheric Pressure Evolution
pressure_hadean,1.5,bar,1,"Hadean 4.6-4.0 Ga",Estimated,"Multi-bar CO2 greenhouse"
pressure_archean_high,1.2,bar,0.6,"Archean upper estimate from raindrops",10.1038/nature09970,"Fossilized raindrop imprints 2.7 Ga"
pressure_archean_mid,0.75,bar,0.25,"Archean mid estimate",Multiple,"0.52-1.2 bar range"
pressure_archean_low,0.23,bar,0.23,"Archean lower estimate from lava",10.1038/nature09970,"Gas bubbles in basalt 2.7 Ga"
pressure_archean_N2,0.5,bar,0.3,"Archean N2 partial pressure",10.1038/ngeo1851,"Quartz fluid inclusions 3.0-3.5 Ga"
pressure_proterozoic,1.0,bar,0.2,"Proterozoic approaching modern",Estimated,"Transitioning to modern levels"
pressure_modern,1.013,bar,0.001,"Present sea level",Measured,"Standard atmosphere"

# Phanerozoic O₂ Levels (additional detail)
O2_cambrian,7,percent_volume,2,"Cambrian 541-485 Ma, 5-10%",Multiple,"~50% PAL, evolutionary radiation"
O2_devonian,17,percent_volume,3,"Devonian 419-359 Ma",Multiple,"15-20%, Age of Fishes"
O2_carboniferous,31,percent_volume,2,"Carboniferous 359-299 Ma, 150% PAL",Multiple,"Peak ~350 Ma, giant insects"
O2_permian,17,percent_volume,2,"Permian 299-252 Ma",Multiple,"Declined from Carboniferous peak"
O2_jurassic,12,percent_volume,2,"Early Jurassic 201-174 Ma, 60% PAL",ResearchGate,"Low point in Mesozoic"
O2_cenozoic_avg,21,percent_volume,1,"Cenozoic average",Multiple,"Close to modern levels"

# TO BE ADDED (Week 2.1-2.2)
# - Mutation rates
# - Selection coefficients
# - Nutrient uptake kinetics

# Week 2.1: Microbial Ecology Parameters (COMPLETED)
# Mutation Rates (per base pair per generation)
mutation_rate_S_cerevisiae,1.67e-10,per_bp_per_generation,4e-12,"Saccharomyces cerevisiae genome-wide",Multiple,"Budding yeast, model organism"
mutation_rate_S_cerevisiae_URA3,3.80e-10,per_bp_per_generation,5e-11,"S. cerevisiae URA3 gene",Estimated,"Gene-specific, higher than average"
mutation_rate_S_cerevisiae_CAN1,6.44e-10,per_bp_per_generation,8e-11,"S. cerevisiae CAN1 gene",Estimated,"Gene-specific variation"
mutation_rate_fungi_typical,5e-10,per_bp_per_generation,3e-10,"Typical fungi range 10⁻⁸ to 10⁻¹⁰",Multiple,"General fungal mutation rate"
mutation_rate_C_neoformans_est,1e-9,per_bp_per_generation,5e-10,"Estimated for C. neoformans",Estimated,"Precise genome-wide rate not established"
mutation_rate_C_neoformans_mutator,2e-7,per_bp_per_generation,1e-7,"C. neoformans mutator strain (MSH2-)",Estimated,"200-fold elevated, DNA repair deficient"

# Selection Coefficients
selection_coef_melanin_radiation,0.30,dimensionless,0.15,"Melanin in high radiation environments",Inferred from Dadachova,"3x growth = ~30% fitness advantage"
selection_coef_melanin_baseline,0.05,dimensionless,0.03,"Melanin in normal conditions",Estimated,"Slight cost vs benefit trade-off"
selection_coef_radiation_resistance,0.25,dimensionless,0.10,"Radiation resistance allele general",Estimated,"Strong positive selection in contaminated sites"

# Lotka-Volterra Competition Coefficients (α)
alpha_coexistence_typical,0.5,dimensionless,0.2,"Typical α < 1 for coexistence",10.3389/fmicb.2021.649505,"Intraspecific > interspecific competition"
alpha_competitive_exclusion,1.5,dimensionless,0.3,"Typical α \u003e 1 for exclusion",10.3389/fmicb.2021.654205,"Interspecific > intraspecific competition"
alpha_fungi_bacteria,0.7,dimensionless,0.3,"Fungi-bacteria competition",Estimated,"Moderate competition, often coexist"
alpha_same_guild,1.2,dimensionless,0.4,"Within-guild competition (e.g., saprotrophs)",Estimated,"Stronger competition for identical niches"

# Michaelis-Menten Parameters - Glucose Uptake
Km_glucose_high_affinity,12,micromolar,5,"High-affinity transporter (T. harzianum)",10.1128/AEM.00138-09,"Low Km = high affinity"
Km_glucose_low_affinity,17500,micromolar,2500,"Low-affinity transporter (T. harzianum), 15-20 mM",10.1128/AEM.00138-09,"Constitutive system"
Km_glucose_N_crassa,10,micromolar,3,"Neurospora crassa inducible system",Multiple,"Very high affinity"
Vmax_glucose_typical,100,nmol_per_mg_per_min,50,"Typical fungal Vmax for glucose",Estimated,"Varies widely by species and conditions"

# Michaelis-Menten Parameters - Nitrogen Uptake  
Km_NH4_high_affinity,2.53,micromolar,0.25,"Ammonium high-affinity (Rhizophagus irregularis)",10.3390/jof5030084,"AM fungi, extremely low Km"
Km_NH4_typical,10,micromolar,5,"Typical fungal ammonium uptake",Multiple,"General range for fungi"
Km_NO3_typical,50,micromolar,20,"Typical fungal nitrate uptake",Multiple,"Generally higher Km than NH4+"
Vmax_NH4_fungi,200,nmol_per_g_per_hour,100,"Fungal ammonium uptake capacity",Estimated,"Higher Vmax than plants"
Vmax_NO3_fungi,150,nmol_per_g_per_hour,75,"Fungal nitrate uptake capacity",Estimated,"Microbes \u003e plants for nitrogen"

# Week 2.2: To be filled with complete database assembly
# - Create validation_datasets.csv
# - Write data/README.md
# - Document all sources in references.bib
