Species Name,Common Name,Location,Contamination Zone,Radioactive Contamination Level (kBq/m²),Concentration (Bq/kg),Melanin,Edibility,Fungi Growth Rate,Fungi Growth Category,Committed Effective Dose (mSv/year),Years Since 2024,Estimated Birth Date,Estimated Death Date,Life and Death Cycles,Latitude,Longitude,pH Level,Soil Type
Pholiota squarrosa,Shaggy Scalycap,"Budaörs, Hungary",Zone 1,3722.25,359.0,False,Edible,1.0,Normal,0.047,20.0,2006-11-15 02:12:36,2037-01-08 02:13:19,1,51.458526926614006,29.221166361864842,4.8,Loam
Lactarius deliciosus,Saffron Milk Cap,"Red Forest, Ukraine",Zone 1,3396.97,224.81,False,Edible,1.0,Normal,0.029,12.4,2022-09-14 03:21:15,2045-09-21 07:16:38,1,51.15325975129473,29.516183900057825,6.2,Loam
Inocybe geophylla,Earthy Inocybe,"EcoCenter, Ukraine",Zone 3,220.31,219.78,False,Edible,1.0,Normal,0.029,26.7,2014-04-23 00:50:49,2019-08-01 03:46:01,1,50.58210193590108,29.569821473396342,7.9,Loam
Gyromitra esculenta,False Morel,Various,Zone 4,134.5,610.15,True,Toxic,0.20175,Normal,0.079,11.2,2013-01-30 16:22:21,2031-12-30 21:19:23,1,50.529389029734084,27.465362096152127,5.0,Sandy
Gyromitra esculenta,False Morel,Various,Zone 2,1253.97,632.23,True,Toxic,1.8809550000000002,Normal,0.082,5.8,2018-06-19 17:42:54,2028-03-29 01:43:45,1,51.93332250020013,27.866854140841866,6.7,Clay
Hebeloma crustuliniforme,Poison Pie,"Ivankov, Ukraine",Zone 3,474.53,537.73,False,Toxic,1.0,Normal,0.07,13.2,2022-12-13 08:48:36,2048-10-07 05:41:38,1,51.363064537264215,28.141866032920582,4.6,Loam
Inocybe geophylla,Earthy Inocybe,"EcoCenter, Ukraine",Zone 3,536.52,339.75,False,Edible,1.0,Normal,0.044,27.3,1999-07-01 02:47:08,2004-05-20 00:39:36,1,51.590612552966384,28.53414878529819,7.4,Clay
Cortinarius praestans,Radiation Webcap,Chernobyl Village,Zone 4,76.08,318.96,False,Edible,1.0,Normal,0.041,23.3,2018-05-13 18:47:32,2039-09-30 00:23:06,1,50.75836049543268,29.22244575820376,7.6,Clay
Boletus russula,Russula,"Veprin, Russia",Zone 2,658.8,7081.56,False,Edible,1.0,Normal,0.921,5.7,2024-07-31 03:57:57,2039-10-22 03:50:12,1,50.405513229201766,27.75676647398421,5.8,Clay
Inocybe geophylla,Earthy Inocybe,"EcoCenter, Ukraine",Zone 3,373.34,183.33,False,Edible,1.0,Normal,0.024,16.5,2022-11-29 11:59:27,2038-02-02 16:12:02,1,50.318051635810384,27.449608827280336,5.6,Sandy
Boletus russula,Russula,"Veprin, Russia",Zone 1,4016.18,9492.09,False,Edible,1.0,Normal,1.234,19.0,2016-01-24 12:24:22,2026-04-20 16:01:37,1,50.17717181596433,27.45365613843468,6.0,Clay
Gyromitra esculenta,False Morel,Various,Zone 2,1352.75,682.32,True,Toxic,2.0291249999999996,Normal,0.089,20.1,2022-12-20 18:20:26,2048-04-05 07:41:04,1,50.789272652070494,29.15613296052317,6.6,Clay
Boletus russula,Russula,"Veprin, Russia",Zone 2,1094.84,6000.07,False,Edible,1.0,Normal,0.78,18.1,2022-07-23 04:31:10,2049-03-13 17:40:38,1,51.69819967646096,28.022722155975043,4.3,Sandy
Boletus russula,Russula,"Veprin, Russia",Zone 4,40.92,7357.04,False,Edible,1.0,Normal,0.956,17.2,2007-09-07 05:09:24,2024-02-19 15:51:05,1,50.05295941170542,27.35098836271946,7.0,Sandy
Hebeloma crustuliniforme,Poison Pie,"Ivankov, Ukraine",Zone 4,177.21,293.37,False,Toxic,1.0,Normal,0.038,15.4,2016-10-08 02:45:14,2050-04-17 00:54:29,1,50.91399688293627,28.65133808997326,4.7,Sandy
Marasmius oreades,Fairy Ring Champignon,"Voronkov, Ukraine",Zone 1,3636.24,407.98,False,Edible,1.0,Normal,0.053,12.5,2024-04-04 02:33:30,2038-05-08 15:47:14,1,50.89312150167598,28.920059177175016,7.5,Loam
Cladosporium sphaerospermum,Radiotrophic Fungus,International Space Station,Zone 2,985.65,10.23,True,Unknown,1.478475,Normal,0.001,14.8,2017-08-19 00:03:29,2040-09-24 08:08:02,1,50.48743769411207,29.160706866900632,5.1,Loam
Hygrophorus russula,Russula Waxcap,"Hilton, Ukraine",Zone 3,497.83,383.28,False,Edible,1.0,Normal,0.05,21.8,2011-05-06 16:09:38,2042-05-02 13:49:41,1,50.68124544585958,27.681535907949666,4.8,Loam
Psathyrella candolleana,Pale Brittlestem,"Near Zalizia, Ukraine",Zone 1,2659.86,354.1,False,Edible,1.0,Normal,0.046,27.0,2003-03-09 03:21:58,2016-03-26 07:14:29,1,50.99034495607249,28.017256557097127,7.3,Loam
Coprinellus micaceus,Mica Cap,"Vesniane, Ukraine",Zone 2,1143.35,380.24,False,Edible,1.0,Normal,0.049,5.8,2022-05-03 11:01:50,2043-09-22 17:27:34,1,50.948545491943406,28.397697030887393,7.6,Loam
Wangiella dermatitidis,Black Yeast,Worldwide,Zone 1,3583.65,17.34,True,Unknown,5.375475,Normal,0.002,13.0,2016-03-09 21:57:08,2054-01-05 10:44:49,1,51.57138229321011,27.37460920698076,6.8,Clay
Leccinum aurantiacum,Red-Capped Scaber Stalk,"Lugine, Ukraine",Zone 1,2208.56,140.63,False,Edible,1.0,Normal,0.018,1.8,2022-11-27 18:28:38,2053-06-16 11:13:23,1,50.459591954768946,28.588521067352087,7.5,Clay
Cortinarius praestans,Radiation Webcap,Chernobyl Village,Zone 2,1107.78,637.86,False,Edible,1.0,Normal,0.083,26.9,2004-02-22 16:21:03,2051-07-31 00:15:29,1,51.28597050007503,27.46486187661439,5.2,Loam
Lactarius deliciosus,Saffron Milk Cap,"Red Forest, Ukraine",Zone 4,91.54,164.11,False,Edible,1.0,Normal,0.021,2.6,2021-12-06 04:08:39,2026-12-10 20:45:16,1,50.110429314456695,29.364944099119576,5.2,Sandy
Leccinum aurantiacum,Red-Capped Scaber Stalk,"Lugine, Ukraine",Zone 2,1148.28,184.65,False,Edible,1.0,Normal,0.024,23.5,2017-02-23 17:07:41,2049-09-05 23:53:17,1,51.58412212240991,29.64419396527326,4.3,Loam
Amanita phalloides,Death Cap,Various,Zone 4,176.88,363.51,False,Toxic,1.0,Normal,0.047,4.9,2024-03-14 08:22:27,2035-07-05 10:07:14,1,50.346704131052526,28.44926324901873,7.7,Loam
Cortinarius praestans,Radiation Webcap,Chernobyl Village,Zone 3,446.79,469.04,False,Edible,1.0,Normal,0.061,23.3,2019-04-28 09:57:34,2046-10-19 00:32:03,1,50.55738348746087,27.183610181573556,4.7,Sandy
Boletus chanteral,Chanterelle,"Veprin, Russia",Zone 4,106.01,1626.13,False,Edible,1.0,Normal,0.211,10.4,2021-12-01 19:21:05,2025-01-23 23:48:01,1,50.9629538612275,27.65130335496514,4.0,Sandy
Marasmius oreades,Fairy Ring Champignon,"Voronkov, Ukraine",Zone 4,148.54,244.87,False,Edible,1.0,Normal,0.032,27.5,2021-11-11 22:22:00,2034-09-05 23:15:32,1,51.792025642622,29.999549938801415,4.1,Sandy
Lactarius deliciosus,Saffron Milk Cap,"Red Forest, Ukraine",Zone 1,3632.01,381.57,False,Edible,1.0,Normal,0.05,19.0,2006-12-08 08:25:56,2050-05-28 02:22:25,1,50.185192199229746,29.67894636718767,7.8,Sandy
Hygrophorus russula,Russula Waxcap,"Hilton, Ukraine",Zone 2,922.38,320.41,False,Edible,1.0,Normal,0.042,10.9,2019-10-18 23:31:48,2034-10-23 12:25:41,1,50.08095983424905,27.964452237486313,6.9,Clay
Psathyrella candolleana,Pale Brittlestem,"Near Zalizia, Ukraine",Zone 4,68.73,430.48,False,Edible,1.0,Normal,0.056,11.6,2020-04-14 12:43:40,2031-12-17 07:04:29,1,51.661621531790054,28.16956294279437,5.8,Clay
Coprinellus micaceus,Mica Cap,"Vesniane, Ukraine",Zone 4,39.92,434.42,False,Edible,1.0,Normal,0.056,22.9,2013-01-24 14:18:03,2051-06-21 06:37:31,1,51.885472920193656,29.74638690635775,7.0,Sandy
Boletus edulis,Porcini,"Korosten, Ukraine",Zone 1,4599.28,260.94,False,Edible,1.0,Normal,0.034,28.3,2009-06-24 15:34:13,2054-09-08 16:30:43,1,50.20735171391622,29.22831557235909,7.0,Sandy
Cortinarius praestans,Radiation Webcap,Chernobyl Village,Zone 4,70.83,501.79,False,Edible,1.0,Normal,0.065,15.1,2008-08-11 11:47:40,2034-02-13 01:50:20,1,50.75220523235988,29.93115339089951,5.8,Loam
Cryptococcus neoformans,Cryptococcus,Worldwide,Zone 4,107.57,21.19,True,Unknown,0.161355,Normal,0.003,22.2,2011-04-22 21:57:53,2054-11-14 16:58:21,1,50.45676133013142,29.065134932577664,5.4,Clay
Lactarius deliciosus,Saffron Milk Cap,"Red Forest, Ukraine",Zone 4,163.0,173.05,False,Edible,1.0,Normal,0.022,28.2,2016-03-25 13:18:12,2017-11-09 08:51:06,1,50.86936746534412,28.78249828926549,4.7,Clay
Melanoleuca melaleuca,Common Cavalier,"Near Chernobyl, Ukraine",Zone 4,181.42,228.99,False,Edible,1.0,Normal,0.03,20.0,2006-04-07 12:46:52,2024-11-06 01:06:45,1,51.48274206406547,28.443803881471098,6.8,Clay
Pholiota squarrosa,Shaggy Scalycap,"Budaörs, Hungary",Zone 4,61.89,302.47,False,Edible,1.0,Normal,0.039,25.3,2021-07-05 12:56:13,2040-03-14 09:31:32,1,51.044756412448756,29.572787211582032,5.0,Sandy
Boletus chanteral,Chanterelle,"Veprin, Russia",Zone 4,107.94,3326.33,False,Edible,1.0,Normal,0.432,4.4,2021-07-18 15:01:44,2046-07-22 04:41:51,1,50.21675457477752,27.867049057987607,5.5,Sandy
Melanoleuca melaleuca,Common Cavalier,"Near Chernobyl, Ukraine",Zone 4,110.75,184.57,False,Edible,1.0,Normal,0.024,24.7,2011-11-01 20:11:41,2048-04-20 06:09:12,1,50.92939066638158,29.850868256385183,5.1,Clay
Boletus chanteral,Chanterelle,"Veprin, Russia",Zone 4,107.53,1639.52,False,Edible,1.0,Normal,0.213,4.7,2024-08-17 04:53:48,2039-11-14 11:41:26,1,51.384634479040486,28.136488544171293,5.8,Sandy
Coprinellus micaceus,Mica Cap,"Vesniane, Ukraine",Zone 3,491.69,365.32,False,Edible,1.0,Normal,0.047,6.1,2020-02-24 04:55:54,2033-03-04 18:26:47,1,51.83501117960815,27.420731754048404,6.2,Loam
Gyromitra esculenta,False Morel,Various,Zone 1,2118.42,759.39,True,Toxic,3.1776299999999997,Normal,0.099,16.7,2010-06-02 09:43:07,2016-11-23 05:13:39,1,50.149697624028505,29.7152699426594,4.7,Loam
Amanita phalloides,Death Cap,Various,Zone 1,2475.18,287.14,False,Toxic,1.0,Normal,0.037,16.1,2012-01-13 10:58:39,2024-12-07 16:02:48,1,50.07592840881808,29.097293618891808,5.9,Sandy
Boletus russula,Russula,"Veprin, Russia",Zone 2,563.43,14710.44,False,Edible,1.0,Normal,1.912,8.5,2015-02-07 05:06:45,2021-03-12 21:36:58,1,50.66903246250741,28.778263877962033,4.8,Loam
Pholiota squarrosa,Shaggy Scalycap,"Budaörs, Hungary",Zone 1,2484.85,243.83,False,Edible,1.0,Normal,0.032,6.9,2023-09-15 06:41:06,2024-05-21 18:30:50,1,50.314524367363525,28.961633489586614,7.8,Loam
Hebeloma crustuliniforme,Poison Pie,"Ivankov, Ukraine",Zone 3,430.39,346.07,False,Toxic,1.0,Normal,0.045,7.4,2023-07-04 12:05:35,2046-11-25 11:39:41,1,51.035104336066624,29.231758287042492,5.8,Loam
Boletus luteus,Slippery Jack,"Veprin, Russia",Zone 3,233.95,15902.08,False,Edible,1.0,Normal,2.067,25.0,2014-01-09 20:55:03,2014-05-31 21:21:58,1,51.756652814864715,28.31256811552575,6.5,Sandy
Cryptococcus neoformans,Cryptococcus,Worldwide,Zone 4,116.75,0.96,True,Unknown,0.175125,Normal,0.0,14.5,2018-06-08 14:41:29,2023-12-29 09:21:48,1,50.197527376904844,28.358805492562954,5.4,Loam
Boletus edulis,Porcini,"Korosten, Ukraine",Zone 2,637.91,1394.72,False,Edible,1.0,Normal,0.181,27.2,2000-09-03 15:14:05,2054-09-12 07:21:25,1,50.22812031621893,29.432358021460946,5.3,Clay
Leccinum aurantiacum,Red-Capped Scaber Stalk,"Lugine, Ukraine",Zone 3,231.37,162.32,False,Edible,1.0,Normal,0.021,15.3,2017-11-01 12:39:33,2044-08-20 01:59:02,1,51.00299023661863,29.266075270137783,6.9,Loam
Wangiella dermatitidis,Black Yeast,Worldwide,Zone 4,137.0,2.14,True,Unknown,0.20550000000000002,Normal,0.0,6.7,2024-11-05 10:42:58,2031-12-31 12:42:08,1,50.491676028860816,27.83933112742447,4.0,Clay
Pholiota squarrosa,Shaggy Scalycap,"Budaörs, Hungary",Zone 2,1370.87,437.79,False,Edible,1.0,Normal,0.057,29.1,2024-11-21 12:25:20,2051-05-27 18:05:03,1,51.754186783598755,27.17382451906231,4.4,Clay
Cortinarius praestans,Radiation Webcap,Chernobyl Village,Zone 4,44.47,588.54,False,Edible,1.0,Normal,0.077,22.5,2009-09-06 16:02:49,2010-12-30 12:33:01,1,50.6243050447208,29.508141718205252,4.3,Loam
Boletus russula,Russula,"Veprin, Russia",Zone 2,679.15,12810.75,False,Edible,1.0,Normal,1.665,22.9,2023-10-13 20:32:11,2029-04-28 21:54:55,1,50.78576383991907,29.918088735834264,8.0,Clay
Amanita phalloides,Death Cap,Various,Zone 1,4897.64,250.44,False,Toxic,1.0,Normal,0.033,29.4,1996-05-24 17:15:53,2017-10-06 14:16:22,1,50.24583528919808,27.42805075560468,7.0,Clay
Gyromitra esculenta,False Morel,Various,Zone 2,605.21,611.28,True,Toxic,0.907815,Normal,0.079,9.8,2016-03-01 16:48:44,2031-07-21 07:25:37,1,51.60510813841578,28.03490282198281,7.0,Loam
Gyromitra esculenta,False Morel,Various,Zone 3,434.26,757.5,True,Toxic,0.6513899999999999,Normal,0.098,7.7,2021-02-06 22:29:56,2030-08-15 02:05:41,1,51.352041052770936,28.646427290025883,6.0,Sandy
Cryptococcus neoformans,Cryptococcus,Worldwide,Zone 4,161.24,7.96,True,Unknown,0.24186000000000002,Normal,0.001,5.3,2023-04-22 22:39:21,2039-03-19 03:24:29,1,51.637816749550744,28.166411044391772,5.9,Loam
Melanoleuca melaleuca,Common Cavalier,"Near Chernobyl, Ukraine",Zone 1,2951.61,225.63,False,Edible,1.0,Normal,0.029,2.8,2022-02-17 12:12:01,2025-06-08 12:08:32,1,50.46082561183408,28.031477153152302,6.0,Clay
Boletus russula,Russula,"Veprin, Russia",Zone 2,1074.12,9273.42,False,Edible,1.0,Normal,1.206,25.8,2017-02-06 17:23:15,2045-04-12 16:55:52,1,51.86041387801196,28.874700866445785,6.6,Sandy
Hebeloma crustuliniforme,Poison Pie,"Ivankov, Ukraine",Zone 2,1222.56,573.44,False,Toxic,1.0,Normal,0.075,20.7,2014-12-14 18:36:36,2029-09-14 18:51:25,1,50.24032234059554,28.96671555665504,7.1,Clay
Lactarius deliciosus,Saffron Milk Cap,"Red Forest, Ukraine",Zone 3,543.7,303.1,False,Edible,1.0,Normal,0.039,17.8,2019-03-06 18:19:17,2054-03-31 11:16:07,1,51.31675828991149,29.158020698978,5.4,Loam
Boletus russula,Russula,"Veprin, Russia",Zone 1,1682.99,7508.49,False,Edible,1.0,Normal,0.976,11.5,2021-04-24 18:39:49,2026-05-16 01:34:45,1,50.15131255409307,27.89936630611503,6.6,Loam
Mycena flavoalba,Yellowleg Bonnet,"Vesniane, Ukraine",Zone 3,300.68,331.25,False,Edible,1.0,Normal,0.043,25.6,1998-04-18 21:29:16,2000-12-05 11:55:22,1,51.566112159459905,28.573292995273754,4.7,Clay
Pholiota squarrosa,Shaggy Scalycap,"Budaörs, Hungary",Zone 1,2081.83,302.71,False,Edible,1.0,Normal,0.039,13.3,2023-07-10 18:50:15,2023-08-13 12:24:53,1,50.81193866310417,29.371011100148053,7.9,Loam
Boletus russula,Russula,"Veprin, Russia",Zone 3,195.81,8674.88,False,Edible,1.0,Normal,1.128,5.9,2023-06-18 10:18:07,2028-02-19 12:17:08,1,50.83670107953208,28.521515543739707,7.0,Clay
Pholiota squarrosa,Shaggy Scalycap,"Budaörs, Hungary",Zone 2,1102.21,381.57,False,Edible,1.0,Normal,0.05,4.6,2021-06-11 14:25:03,2051-06-24 15:02:40,1,50.74608278945385,29.766091955511293,5.8,Loam
Coprinopsis atramentaria,Inky Cap,"Bingen-am-Rhein, Germany",Zone 1,4493.65,441.5,False,Edible,1.0,Normal,0.057,10.4,2019-08-04 20:24:56,2052-05-08 11:52:51,1,50.32096953898928,27.28317092265968,7.2,Sandy
Cladosporium sphaerospermum,Radiotrophic Fungus,International Space Station,Zone 2,1109.67,21.89,True,Unknown,1.6645050000000001,Normal,0.003,15.1,2021-04-09 16:30:06,2045-06-12 17:21:21,1,50.58364946952477,29.276685280695244,7.1,Clay
Cortinarius praestans,Radiation Webcap,Chernobyl Village,Zone 4,55.44,312.88,False,Edible,1.0,Normal,0.041,20.0,2020-11-22 01:03:02,2025-02-04 19:50:36,1,51.14332362538191,29.1547906867685,6.3,Sandy
Lactarius deliciosus,Saffron Milk Cap,"Red Forest, Ukraine",Zone 4,41.17,380.07,False,Edible,1.0,Normal,0.049,12.3,2012-12-11 05:49:04,2015-12-28 12:14:05,1,51.894368495710005,27.021749481660272,5.9,Sandy
Pholiota squarrosa,Shaggy Scalycap,"Budaörs, Hungary",Zone 2,574.24,308.53,False,Edible,1.0,Normal,0.04,19.7,2014-02-23 10:58:02,2020-10-13 17:29:52,1,51.96187301871285,28.893428105343414,6.1,Sandy
Cryptococcus neoformans,Cryptococcus,Worldwide,Zone 2,648.79,21.25,True,Unknown,0.973185,Normal,0.003,23.6,2010-11-27 09:37:53,2034-11-19 16:57:12,1,50.877216333710166,27.64869473332508,7.5,Loam
Cryptococcus neoformans,Cryptococcus,Worldwide,Zone 2,675.98,21.51,True,Unknown,1.01397,Normal,0.003,23.9,2013-12-03 10:11:01,2027-02-18 18:00:53,1,50.30465342414514,27.222002717294874,5.5,Clay
Boletus russula,Russula,"Veprin, Russia",Zone 4,174.19,8359.93,False,Edible,1.0,Normal,1.087,11.6,2012-01-19 00:52:24,2038-11-29 15:42:58,1,51.701367481218625,28.84069991078346,4.8,Sandy
Boletus edulis,Porcini,"Korosten, Ukraine",Zone 2,1300.24,1075.43,False,Edible,1.0,Normal,0.14,14.6,2023-08-10 01:35:21,2043-07-20 06:17:23,1,50.94334810006155,27.457178691748044,6.1,Sandy
Coprinellus micaceus,Mica Cap,"Vesniane, Ukraine",Zone 1,2497.36,444.61,False,Edible,1.0,Normal,0.058,7.2,2019-07-31 22:08:32,2045-03-08 22:47:53,1,50.556357051475835,29.993435307012643,4.8,Loam
Amanita phalloides,Death Cap,Various,Zone 2,1041.9,335.78,False,Toxic,1.0,Normal,0.044,5.6,2024-03-14 07:04:59,2040-04-11 13:16:08,1,50.370955641760446,28.663397693149864,5.5,Clay
Hebeloma crustuliniforme,Poison Pie,"Ivankov, Ukraine",Zone 1,3716.87,535.16,False,Toxic,1.0,Normal,0.07,2.2,2023-10-21 17:02:05,2034-02-07 02:34:32,1,50.656107979048066,29.47614770034282,6.1,Sandy
Marasmius oreades,Fairy Ring Champignon,"Voronkov, Ukraine",Zone 4,71.51,360.27,False,Edible,1.0,Normal,0.047,24.1,2021-02-14 10:15:04,2040-05-01 05:22:19,1,50.77170425187873,28.338896570825366,6.3,Loam
Cryptococcus neoformans,Cryptococcus,Worldwide,Zone 1,3965.78,23.89,True,Unknown,5.94867,Normal,0.003,13.0,2020-12-28 00:36:17,2050-08-19 19:00:46,1,51.66661588442369,27.78700269512799,7.3,Sandy
